item_gallery_id,item_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
230,49955,"Caldwell The T Sungrown Habano Lonsdale Box (20)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,866986,0,0,0,active,124,"2022-11-29 13:07:18"
231,49957,"Caldwell The T Maduro Boxpress Toro Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,706886,1,0,2,active,124,"2022-11-29 13:08:01"
232,49957,"Caldwell The T Maduro Boxpress Toro Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1031204,0,0,1,active,124,"2022-11-29 13:08:02"
233,49957,"Caldwell The T Maduro Boxpress Toro Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,396562,0,0,0,active,124,"2022-11-29 13:08:03"
234,49959,"Caldwell The T Maduro Boxpress Toro Grande Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,701028,1,0,2,active,124,"2022-11-29 13:08:25"
235,49959,"Caldwell The T Maduro Boxpress Toro Grande Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1017871,0,0,1,active,124,"2022-11-29 13:08:26"
236,49959,"Caldwell The T Maduro Boxpress Toro Grande Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,382580,0,0,0,active,124,"2022-11-29 13:08:27"
237,49960,"Caldwell The T Maduro Boxpress Robusto Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,754057,1,0,2,active,124,"2022-11-29 13:08:50"
238,49960,"Caldwell The T Maduro Boxpress Robusto Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1187984,0,0,1,active,124,"2022-11-29 13:08:51"
239,49960,"Caldwell The T Maduro Boxpress Robusto Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,389992,0,0,0,active,124,"2022-11-29 13:08:52"
240,49951,"Caldwell Long Live the King by AJ Fernandez 6x60_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,824171,1,0,2,active,124,"2022-11-29 13:09:51"
241,49951,"Caldwell Long Live the King by AJ Fernandez 6x60_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1172501,0,0,1,active,124,"2022-11-29 13:09:52"
242,49951,"Caldwell Long Live the King by AJ Fernandez 6x60_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,673489,0,0,0,active,124,"2022-11-29 13:09:54"
243,49954,"Caldwell Long Live the King by AJ Fernandez 50x6_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,815795,1,0,2,active,124,"2022-11-29 13:10:19"
244,49954,"Caldwell Long Live the King by AJ Fernandez 50x6_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,992799,0,0,1,active,124,"2022-11-29 13:10:21"
245,49954,"Caldwell Long Live the King by AJ Fernandez 50x6_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,692217,0,0,0,active,124,"2022-11-29 13:10:22"
246,49953,"Caldwell Long Live the King by AJ Fernandez 50x5_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,822196,1,0,2,active,124,"2022-11-29 13:10:48"
247,49953,"Caldwell Long Live the King by AJ Fernandez 50x5_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1146830,0,0,1,active,124,"2022-11-29 13:10:49"
248,49953,"Caldwell Long Live the King by AJ Fernandez 50x5_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,685651,0,0,0,active,124,"2022-11-29 13:10:50"
249,49952,"Caldwell Long Live the King by AJ Fernandez 44x6_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,776238,1,0,2,active,124,"2022-11-29 13:11:15"
250,49952,"Caldwell Long Live the King by AJ Fernandez 44x6_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,952020,0,0,1,active,124,"2022-11-29 13:11:18"
251,49952,"Caldwell Long Live the King by AJ Fernandez 44x6_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,717663,0,0,0,active,124,"2022-11-29 13:11:19"
252,49961,"Highclere Castle Limited Senetjer Box (12)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,888471,1,0,2,active,124,"2022-11-30 12:35:36"
253,49961,"Highclere Castle Limited Senetjer Box (12)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,885760,0,0,1,active,124,"2022-11-30 12:35:38"
254,49961,"Highclere Castle Limited Senetjer Box (12)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,986053,0,0,0,active,124,"2022-11-30 12:35:44"
255,49968,"JC Newman Samplers 125th Holiday Display_2SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,582112,1,0,1,active,124,"2022-12-02 15:36:05"
256,49968,"JC Newman Samplers 125th Holiday Display_1SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,581706,0,0,0,active,124,"2022-12-02 15:36:07"
257,49969,"Asylum 13 Samplers Fresh Packs 6x60 Box (5-4)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,667020,1,0,1,active,124,"2022-12-05 16:23:21"
258,49969,"Asylum 13 Samplers Fresh Packs 6x60 Box (5-4)_4SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,712551,0,0,0,active,124,"2022-12-05 16:23:22"
259,49970,"Perdomo Limited Edition Cameroon Petit Corona Box (10)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,387460,0,0,2,active,124,"2022-12-05 16:34:50"
260,49970,"Perdomo Limited Edition Cameroon Petit Corona Box (10)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,741863,1,0,1,active,124,"2022-12-05 16:34:53"
261,49970,"Perdomo Limited Edition Cameroon Petit Corona Box (10)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1025807,0,0,0,active,124,"2022-12-05 16:34:54"
262,49971,"Gran Habano Blue in Green Gran Robusto Box (20)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,1159644,0,0,2,active,124,"2022-12-05 16:42:14"
263,49971,"Gran Habano Blue in Green Gran Robusto Box (20)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,805245,1,0,1,active,124,"2022-12-05 16:42:16"
264,49971,"Gran Habano Blue in Green Gran Robusto Box (20)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1203804,0,0,0,active,124,"2022-12-05 16:42:17"
265,49972,"CLE Connecticut 54x6 Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,1024058,1,0,2,active,124,"2022-12-05 16:48:29"
266,49972,"CLE Connecticut 54x6 Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1021750,0,0,1,active,124,"2022-12-05 16:48:30"
267,49972,"CLE Connecticut 54x6 Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1073920,0,0,0,active,124,"2022-12-05 16:48:32"
268,49973,"HVC La Rosa 502 Sumatra Rare of Rare Box (10)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,476902,0,0,2,active,124,"2022-12-05 16:56:25"
269,49973,"HVC La Rosa 502 Sumatra Rare of Rare Box (10)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,905456,1,0,1,active,124,"2022-12-05 16:56:26"
270,49973,"HVC La Rosa 502 Sumatra Rare of Rare Box (10)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,945423,0,0,0,active,124,"2022-12-05 16:56:27"
271,49544,"Reinado C-29 Connecticut Robusto Bundle (25)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,733983,1,0,1,active,124,"2022-12-15 09:45:15"
272,49544,"Reinado C-29 Connecticut Robusto Bundle (25)_4SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,278635,0,0,0,active,124,"2022-12-15 09:45:23"
273,46997,"Rocky Patel Sixty Sixty Box (20)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,485493,0,0,2,active,124,"2022-12-15 15:03:03"
274,46997,"Rocky Patel Sixty Sixty Box (20)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1066432,1,0,1,active,124,"2022-12-15 15:03:16"
275,46997,"Rocky Patel Sixty Sixty Box (20)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1323919,0,0,0,active,124,"2022-12-15 15:03:19"
276,50006,"Crowned Heads Limited Edition Pi Synesthesia Box (12)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,371247,0,0,2,active,124,"2022-12-19 09:46:07"
277,50006,"Crowned Heads Limited Edition Pi Synesthesia Box (12)_5SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,912106,1,0,1,active,124,"2022-12-19 09:46:09"
278,50006,"Crowned Heads Limited Edition Pi Synesthesia Box (12)_6SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,970882,0,0,0,active,124,"2022-12-19 09:46:10"
279,50005,"Crowned Heads Limited Edition Azul Y Oro Box (12)_1SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,366679,0,0,NULL,perged,124,"2022-12-19 10:03:55"
280,50005,"Crowned Heads Limited Edition Azul Y Oro Box (12)_4SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,575669,1,0,2,active,124,"2022-12-19 10:03:56"
281,50005,"Crowned Heads Limited Edition Azul Y Oro Box (12)_5SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1005502,0,0,1,active,124,"2022-12-19 10:04:02"
282,50005,"Crowned Heads Limited Edition Azul Y Oro Box (12)_7SZ.jpg",-4.jpg,uploads/item_gallery/-4.jpg,1080,1080,408469,0,0,0,active,124,"2022-12-19 10:04:10"
283,49665,"La Palina Ltd Ed 125th Anniv. Toro Jar + Refill Bundle (37+37) (74)_1SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,741694,1,0,0,active,124,"2022-12-19 10:40:55"
284,50011,"Tatuaje Havana VI Verocu Blue No.1 Box (20)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,917689,0,0,2,active,124,"2022-12-19 14:11:45"
285,50011,"Tatuaje Havana VI Verocu Blue No.1 Box (20)_4SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,892555,1,0,1,active,124,"2022-12-19 14:11:47"
286,50011,"Tatuaje Havana VI Verocu Blue No.1 Box (20)_5SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,983278,0,0,0,active,124,"2022-12-19 14:11:49"
287,50012,"Tatuaje Havana VI Verocu Blue No.2 Box (20)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,913673,0,0,2,active,124,"2022-12-19 14:16:41"
288,50012,"Tatuaje Havana VI Verocu Blue No.2 Box (20)_4SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,936137,1,0,1,active,124,"2022-12-19 14:16:42"
289,50012,"Tatuaje Havana VI Verocu Blue No.2 Box (20)_5SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1133156,0,0,0,active,124,"2022-12-19 14:16:44"
290,42729,"Arturo Fuente Merchandise AF Rocks Glasses (2)_1SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,706000,1,0,0,active,124,"2022-12-19 14:21:16"
291,46950,"Arturo Fuente Merchandise Casa Cuba Ashtray (orange) (1)_1SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,967116,1,0,1,active,124,"2022-12-19 14:25:04"
292,46950,"Arturo Fuente Merchandise Casa Cuba Ashtray (orange) (1)_2SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1450308,0,0,0,active,124,"2022-12-19 14:25:06"
293,49997,"Liga Undercrown Limited Dogma 2022 Box (10)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,585816,0,0,2,active,124,"2022-12-19 14:38:10"
294,49997,"Liga Undercrown Limited Dogma 2022 Box (10)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,887965,1,0,1,active,124,"2022-12-19 14:38:12"
295,49997,"Liga Undercrown Limited Dogma 2022 Box (10)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,973756,0,0,0,active,124,"2022-12-19 14:38:13"
