brand_gallery_id,brand_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
273,1265,Screen-Shot-2021-04-15-at-12.18.30-AM-300x300.png,Screen-Shot-2021-04-15-at-12.18.30-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.18.30-AM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:19"
274,1186,DIAMCRN-300x300.png,DIAMCRN-300x300.png,uploads/brand_gallery/DIAMCRN-300x300.png,NULL,NULL,NULL,1,0,0,active,124,"2022-05-02 05:44:19"
275,1185,DIESEL-300x300.png,DIESEL-300x300.png,uploads/brand_gallery/DIESEL-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
276,1311,Screen-Shot-2021-04-15-at-12.09.20-AM-300x300.png,Screen-Shot-2021-04-15-at-12.09.20-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.09.20-AM-300x300.png,NULL,NULL,NULL,1,0,0,active,124,"2022-05-02 05:44:19"
277,1267,DONDIGO-300x300.png,DONDIGO-300x300.png,uploads/brand_gallery/DONDIGO-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
278,1057,DONMAT-300x300.png,DONMAT-300x300.png,uploads/brand_gallery/DONMAT-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
279,1268,Screen-Shot-2021-04-15-at-12.28.26-AM-300x300.png,Screen-Shot-2021-04-15-at-12.28.26-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.28.26-AM-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
280,1187,DONTOM-300x300.png,DONTOM-300x300.png,uploads/brand_gallery/DONTOM-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
281,1235,DUNBART-300x300.png,DUNBART-300x300.png,uploads/brand_gallery/DUNBART-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
282,1188,EIROA-300x300.png,EIROA-300x300.png,uploads/brand_gallery/EIROA-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
283,1205,elreydelmundo.png,elreydelmundo.png,uploads/brand_gallery/elreydelmundo.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
284,1430,Gold-Splotch-Black-Geneva-300x236.png,Gold-Splotch-Black-Geneva-300x236.png,uploads/brand_gallery/Gold-Splotch-Black-Geneva-300x236.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
285,1259,EPCARL-300x300.png,EPCARL-300x300.png,uploads/brand_gallery/EPCARL-300x300.png,NULL,NULL,NULL,1,0,0,active,106,"2022-05-02 05:44:20"
286,1189,ESPINOS-300x300.png,ESPINOS-300x300.png,uploads/brand_gallery/ESPINOS-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:20"
287,1190,Screen-Shot-2021-04-15-at-12.04.16-AM-300x300.png,Screen-Shot-2021-04-15-at-12.04.16-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.04.16-AM-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:20"
288,1092,FLORSUN-300x300.png,FLORSUN-300x300.png,uploads/brand_gallery/FLORSUN-300x300.png,NULL,NULL,NULL,1,0,0,active,124,"2022-05-02 05:44:20"
289,1191,Screen-Shot-2021-04-14-at-10.26.01-PM-300x300.png,Screen-Shot-2021-04-14-at-10.26.01-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-10.26.01-PM-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:20"
290,1192,Screen-Shot-2021-04-15-at-12.25.06-AM-300x300.png,Screen-Shot-2021-04-15-at-12.25.06-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.25.06-AM-300x300.png,NULL,NULL,NULL,1,0,0,active,124,"2023-02-06 17:18:19"
291,1193,Screen-Shot-2021-04-14-at-11.55.47-PM-300x300.png,Screen-Shot-2021-04-14-at-11.55.47-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-11.55.47-PM-300x300.png,NULL,NULL,NULL,1,0,0,active,124,"2023-03-16 11:07:48"
292,1194,GISPERT-300x300.png,GISPERT-300x300.png,uploads/brand_gallery/GISPERT-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:20"
293,1195,Screen-Shot-2021-04-14-at-10.27.41-PM-300x300.png,Screen-Shot-2021-04-14-at-10.27.41-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-10.27.41-PM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:20"
294,1196,GRAYCLF-300x300.png,GRAYCLF-300x300.png,uploads/brand_gallery/GRAYCLF-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:20"
295,1271,GRIFFIN-300x300.png,GRIFFIN-300x300.png,uploads/brand_gallery/GRIFFIN-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:20"
296,1258,Screen-Shot-2021-04-14-at-11.50.55-PM-300x300.png,Screen-Shot-2021-04-14-at-11.50.55-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-11.50.55-PM-300x300.png,NULL,NULL,NULL,1,0,0,active,121,"2022-05-02 05:44:20"
297,1252,gurkha-logo-2-1-300x300.jpg,gurkha-logo-2-1-300x300.jpg,uploads/brand_gallery/gurkha-logo-2-1-300x300.jpg,NULL,NULL,NULL,1,0,0,active,124,"2022-05-02 05:44:20"
298,1197,HUPMANN-300x300.png,HUPMANN-300x300.png,uploads/brand_gallery/HUPMANN-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:20"
299,1198,Screen-Shot-2021-04-14-at-11.56.39-PM-300x300.png,Screen-Shot-2021-04-14-at-11.56.39-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-11.56.39-PM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:20"
300,1199,HELIX-300x300.png,HELIX-300x300.png,uploads/brand_gallery/HELIX-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:21"
301,1200,HENRYCL-300x300.png,HENRYCL-300x300.png,uploads/brand_gallery/HENRYCL-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
302,1067,HERERST-300x300.png,HERERST-300x300.png,uploads/brand_gallery/HERERST-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
303,1411,Screen-Shot-2021-04-14-at-11.54.33-PM-300x300.png,Screen-Shot-2021-04-14-at-11.54.33-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-11.54.33-PM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
304,1201,HIRMSOL-300x300.png,HIRMSOL-300x300.png,uploads/brand_gallery/HIRMSOL-300x300.png,NULL,NULL,NULL,1,0,0,active,1,"2023-05-09 01:07:02"
305,1126,HOYO-300x300.png,HOYO-300x300.png,uploads/brand_gallery/HOYO-300x300.png,NULL,NULL,NULL,1,0,0,active,124,"2023-01-16 16:39:03"
306,1273,ILLUSN-300x300.png,ILLUSN-300x300.png,uploads/brand_gallery/ILLUSN-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
307,1364,Screen-Shot-2021-04-14-at-11.53.37-PM-300x300.png,Screen-Shot-2021-04-14-at-11.53.37-PM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-14-at-11.53.37-PM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
308,1206,ISLADSL-300x300.png,ISLADSL-300x300.png,uploads/brand_gallery/ISLADSL-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
309,1244,jc-newman-1-300x258.png,jc-newman-1-300x258.png,uploads/brand_gallery/jc-newman-1-300x258.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
310,1207,JOYADN-300x300.png,JOYADN-300x300.png,uploads/brand_gallery/JOYADN-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:21"
